pisco,CCCma-CanESM2_lsraw,CSIRO-QCCCE-Mk3_lsraw,ICHEC-EC-EARTH_lsraw,IPSL-CM5A-MR_lsraw,MIROC-MIROC5_lsraw,MOHC-HadGEM2-ES_lsraw,NCC-NorESM1-M_lsraw,NOAA-GFDL-ESM2M_lsraw,CCCma-CanESM2-SAM20_lsraw,MIROC-MIROC5-SAM20_lsraw,CCCma-CanESM2_ls,CSIRO-QCCCE-Mk3_ls,ICHEC-EC-EARTH_ls,IPSL-CM5A-MR_ls,MIROC-MIROC5_ls,MOHC-HadGEM2-ES_ls,NCC-NorESM1-M_ls,NOAA-GFDL-ESM2M_ls,CCCma-CanESM2-SAM20_ls,MIROC-MIROC5-SAM20_ls,CCCma-CanESM2_ptraw,CSIRO-QCCCE-Mk3_ptraw,ICHEC-EC-EARTH_ptraw,IPSL-CM5A-MR_ptraw,MIROC-MIROC5_ptraw,MOHC-HadGEM2-ES_ptraw,NCC-NorESM1-M_ptraw,NOAA-GFDL-ESM2M_ptraw,CCCma-CanESM2-SAM20_ptraw,MIROC-MIROC5-SAM20_ptraw,CCCma-CanESM2_pt,CSIRO-QCCCE-Mk3_pt,ICHEC-EC-EARTH_pt,IPSL-CM5A-MR_pt,MIROC-MIROC5_pt,MOHC-HadGEM2-ES_pt,NCC-NorESM1-M_pt,NOAA-GFDL-ESM2M_pt,CCCma-CanESM2-SAM20_pt,MIROC-MIROC5-SAM20_pt,CSIRO-QCCCE-Mk3_dmraw,ICHEC-EC-EARTH_dmraw,IPSL-CM5A-MR_dmraw,MIROC-MIROC5_dmraw,MOHC-HadGEM2-ES_dmraw,NCC-NorESM1-M_dmraw,NOAA-GFDL-ESM2M_dmraw,CSIRO-QCCCE-Mk3_dm,ICHEC-EC-EARTH_dm,IPSL-CM5A-MR_dm,MIROC-MIROC5_dm,MOHC-HadGEM2-ES_dm,NCC-NorESM1-M_dm,NOAA-GFDL-ESM2M_dm
45.22,117.17,102.02,36.89,43.91,51.48,18.54,112.48,65.95,77.71,31.92,25.31,39.64,26.6,29.87,40.68,26.53,63.24,46.47,29.04,35.96,117.17,102.02,36.89,43.91,51.48,18.54,112.48,65.95,77.71,31.92,19.98,39.57,28.16,29.28,41.03,26.8,60.09,46.95,21.89,32.14,102.02,36.89,43.91,51.48,18.54,112.48,65.95,40.36,23.78,24.98,40.63,17.02,63.64,45.16
148.81,163.13,185.7,93.64,86.51,53.89,30.45,62.47,90.2,134.28,15.58,104.28,133.35,94.16,147.09,74.46,70.93,82.01,82.48,88.32,33.72,163.13,185.7,93.64,86.51,53.89,30.45,62.47,90.2,134.28,15.58,103.61,126.01,101.02,128.85,87.86,72.84,89.93,82.65,88.1,96.75,185.7,93.64,86.51,53.89,30.45,62.47,90.2,132.33,95.85,139.38,78.13,57.17,83.97,79.89
211.77,176.17,111.29,89.92,57.62,111.81,13.21,55.85,66.82,144.51,146,177.59,149.24,166.03,142.3,277.1,70.33,102.62,119.79,162.61,286.85,176.17,111.29,89.92,57.62,111.81,13.21,55.85,66.82,144.51,146,177.66,162.41,184.95,151.16,267.97,96.14,126.7,128.01,139.34,304.76,111.29,89.92,57.62,111.81,13.21,55.85,66.82,146.74,173.8,139.89,270.58,49.95,114.82,123.41
207.6,132.5,312.73,119.89,104.45,85.77,51.51,89.65,108.34,151.07,177.98,91.1,280.54,176.43,159.05,166.51,133.57,141.26,159.15,103.83,161.1,132.5,312.73,119.89,104.45,85.77,51.51,89.65,108.34,151.07,177.98,93.81,244.1,178.94,149.09,170.68,146.6,148.51,162.4,88.6,162.15,312.73,119.89,104.45,85.77,51.51,89.65,108.34,252.66,175.2,154.71,166.42,121.98,143.05,158.17
393.57,127.28,61.58,91.27,63.16,44.97,44.87,107.27,97.55,188.78,131.06,179.62,200.24,259.13,223.13,157.85,180.06,389.66,258.49,222.21,194.31,127.28,61.58,91.27,63.16,44.97,44.87,107.27,97.55,188.78,131.06,173.29,210.92,259.24,216.26,169.06,200.65,367.98,252.73,160.88,173.71,61.58,91.27,63.16,44.97,44.87,107.27,97.55,191.79,259.91,215.69,160.34,164.4,398.44,251.77
39.37,108.6,17.25,53.49,40.29,50.42,35.43,28.51,37.46,26.79,30.08,52.43,18.64,48.92,49.25,72.65,20.74,52.17,35.94,12.04,17.56,108.6,17.25,53.49,40.29,50.42,35.43,28.51,37.46,26.79,30.08,56.59,16.87,46.48,54.1,75.17,20.42,52.23,35.56,6.61,15.63,17.25,53.49,40.29,50.42,35.43,28.51,37.46,14.85,47.31,53.64,78.51,17.02,53.5,34.48
4.31,94.51,34.6,7.9,50.24,24.68,33.13,8.54,4.48,21.92,13.47,15.11,10.99,5.76,29.54,26.07,6.4,11.12,5.66,9.08,13.55,94.51,34.6,7.9,50.24,24.68,33.13,8.54,4.48,21.92,13.47,11.29,4.52,2.97,25.58,29.98,2.21,8.94,4.33,4.43,8.63,34.6,7.9,50.24,24.68,33.13,8.54,4.48,7.7,3.36,31.83,28.61,3.47,10.13,1.15
6.1,62.95,58.92,20.02,17.45,7.64,57.12,10.06,13.68,17.16,0.4,13.74,32.9,21.51,14.56,10.4,11.86,15.44,20.6,22.4,2.19,62.95,58.92,20.02,17.45,7.64,57.12,10.06,13.68,17.16,0.4,10.93,57.48,18.64,7.85,4.25,8.55,8.74,16.77,23.32,1.56,58.92,20.02,17.45,7.64,57.12,10.06,13.68,43.7,22.83,10.38,7.15,11.22,10.26,16.68
1.68,120.59,52.21,25.7,26.33,12.67,172.2,13.99,18.36,7.79,19.95,5.86,8.02,8.76,7.44,4.56,13.61,4.68,9.31,3.25,21.26,120.59,52.21,25.7,26.33,12.67,172.2,13.99,18.36,7.79,19.95,6.57,5.91,6.15,7.59,2.69,24.26,1,9.78,2.26,22.26,52.21,25.7,26.33,12.67,172.2,13.99,18.36,7.97,8.91,8.47,3.94,21.25,2.59,8.87
4.8,173.68,65.47,68.81,35.29,46.55,187.6,30.38,50.44,20.81,8.12,11.85,8.21,25.34,8.98,13.89,30.83,12.26,19.66,12.41,9.96,173.68,65.47,68.81,35.29,46.55,187.6,30.38,50.44,20.81,8.12,16.55,5.91,24.98,5.74,17.66,37.12,8.58,18.67,11.52,10.28,65.47,68.81,35.29,46.55,187.6,30.38,50.44,6.14,25.99,7.95,15.32,42,10.52,20.63
28.57,295.94,76.07,58.13,19.7,53.44,92.3,43.54,69.69,60.54,29.56,46.84,24.99,49.94,10.07,39.06,98.94,73.88,55.47,55.64,49.24,295.94,76.07,58.13,19.7,53.44,92.3,43.54,69.69,60.54,29.56,47.12,15.95,57.48,7.34,35.26,101.9,89.07,63.05,56.43,50.75,76.07,58.13,19.7,53.44,92.3,43.54,69.69,18.25,55.9,6.75,35.34,99.26,109.7,62.12
31.44,199.83,93.37,52.13,71.86,37.46,75.16,50.63,36.13,81.59,43.03,32.74,40.37,49.62,46.17,35.05,106.43,41.81,33.87,49.03,54.53,199.83,93.37,52.13,71.86,37.46,75.16,50.63,36.13,81.59,43.03,29.74,40.16,49,46.91,35.66,108.89,43.52,33.98,50.56,56.09,93.37,52.13,71.86,37.46,75.16,50.63,36.13,39.81,51.59,48.74,34.59,97.73,41.52,32.25
34.25,252.35,70.97,28.27,40.68,95.7,17.84,72.38,89.11,112.15,3.81,54.5,27.59,20.4,27.66,75.64,25.54,40.71,62.79,41.92,4.3,252.35,70.97,28.27,40.68,95.7,17.84,72.38,89.11,112.15,3.81,57.11,26.46,21.52,27.13,72.45,25.87,39.45,57.63,33.6,10.23,70.97,28.27,40.68,95.7,17.84,72.38,89.11,24.92,18.3,23.09,82.37,15.2,40.27,65.07
59.85,238.5,182.42,108.31,84.26,60.38,27.27,61.74,94.41,160.25,15.36,152.46,130.98,108.94,143.27,83.44,63.55,81.06,86.37,105.37,33.26,238.5,182.42,108.31,84.26,60.38,27.27,61.74,94.41,160.25,15.36,149.66,123.3,111.01,121.36,96.46,81.68,92.18,92.38,101.56,45.25,182.42,108.31,84.26,60.38,27.27,61.74,94.41,129.74,108.73,135.01,86.87,48.38,84.03,85.76
239.41,168.23,77.39,144.75,35.55,61.91,42.63,184.67,119.83,251.73,106.07,169.6,103.82,267.3,87.8,153.46,226.9,339.17,214.81,283.23,208.42,168.23,77.39,144.75,35.55,61.91,42.63,184.67,119.83,251.73,106.07,169.65,122.32,254.4,98.32,163.42,234.12,301.83,213.95,304.32,207.38,77.39,144.75,35.55,61.91,42.63,184.67,119.83,103.41,257.96,83.8,154.27,187.11,314,213.03
99.01,132.13,85.98,73.06,52.08,109.81,91.58,125.47,93.21,245.95,96.68,90.85,77.14,107.52,79.31,213.19,237.54,197.67,136.89,169.03,87.5,132.13,85.98,73.06,52.08,109.81,91.58,125.47,93.21,245.95,96.68,94.65,96.94,125.02,94.21,196.53,208.49,188.19,133.31,169.3,89.31,85.98,73.06,52.08,109.81,91.58,125.47,93.21,85.72,114.44,82.03,204.25,198.4,191.61,133.65
