pisco,CCCma-CanESM2_lsraw,CSIRO-QCCCE-Mk3_lsraw,ICHEC-EC-EARTH_lsraw,IPSL-CM5A-MR_lsraw,MIROC-MIROC5_lsraw,MOHC-HadGEM2-ES_lsraw,NCC-NorESM1-M_lsraw,NOAA-GFDL-ESM2M_lsraw,CCCma-CanESM2-SAM20_lsraw,MIROC-MIROC5-SAM20_lsraw,CCCma-CanESM2_ls,CSIRO-QCCCE-Mk3_ls,ICHEC-EC-EARTH_ls,IPSL-CM5A-MR_ls,MIROC-MIROC5_ls,MOHC-HadGEM2-ES_ls,NCC-NorESM1-M_ls,NOAA-GFDL-ESM2M_ls,CCCma-CanESM2-SAM20_ls,MIROC-MIROC5-SAM20_ls,CCCma-CanESM2_ptraw,CSIRO-QCCCE-Mk3_ptraw,ICHEC-EC-EARTH_ptraw,IPSL-CM5A-MR_ptraw,MIROC-MIROC5_ptraw,MOHC-HadGEM2-ES_ptraw,NCC-NorESM1-M_ptraw,NOAA-GFDL-ESM2M_ptraw,CCCma-CanESM2-SAM20_ptraw,MIROC-MIROC5-SAM20_ptraw,CCCma-CanESM2_pt,CSIRO-QCCCE-Mk3_pt,ICHEC-EC-EARTH_pt,IPSL-CM5A-MR_pt,MIROC-MIROC5_pt,MOHC-HadGEM2-ES_pt,NCC-NorESM1-M_pt,NOAA-GFDL-ESM2M_pt,CCCma-CanESM2-SAM20_pt,MIROC-MIROC5-SAM20_pt,CSIRO-QCCCE-Mk3_dmraw,ICHEC-EC-EARTH_dmraw,IPSL-CM5A-MR_dmraw,MIROC-MIROC5_dmraw,MOHC-HadGEM2-ES_dmraw,NCC-NorESM1-M_dmraw,NOAA-GFDL-ESM2M_dmraw,CSIRO-QCCCE-Mk3_dm,ICHEC-EC-EARTH_dm,IPSL-CM5A-MR_dm,MIROC-MIROC5_dm,MOHC-HadGEM2-ES_dm,NCC-NorESM1-M_dm,NOAA-GFDL-ESM2M_dm
53.46,161.37,59.17,42.33,41.88,24.4,12.35,39.92,38.43,133.04,24.92,34.84,22.98,30.57,28.46,19.31,17.68,22.45,27.1,49.71,28.07,161.37,59.17,42.33,41.88,24.4,12.35,39.92,38.43,133.04,24.92,30.2,21.9,31.82,27.94,21.16,18.15,24.32,30.41,55.51,35.67,59.17,42.33,41.88,24.4,12.35,39.92,38.43,19.61,28.41,23.71,16.34,6.08,20.91,23.74
95.82,226.35,149.41,100.94,81.2,90.64,40.72,62.28,136.33,178.44,79.8,144.68,107.29,101.53,138.06,125.23,94.87,81.76,124.67,117.38,172.79,226.35,149.41,100.94,81.2,90.64,40.72,62.28,136.33,178.44,79.8,142.53,108.95,105.36,136.84,116.02,107.05,96.9,127.03,131.76,173.39,149.41,100.94,81.2,90.64,40.72,62.28,136.33,106.01,102.25,132.76,121.04,71.29,86.55,122.36
262.52,200.76,184.69,62.03,103.2,95.58,54.12,54.07,197.53,170.45,86.23,202.36,247.7,114.55,254.81,236.88,288.06,99.29,354.06,191.79,169.44,200.76,184.69,62.03,103.2,95.58,54.12,54.07,197.53,170.45,86.23,202.43,247.75,125.84,253.65,236.97,278.52,129.64,343.36,174.97,176.24,184.69,62.03,103.2,95.58,54.12,54.07,197.53,245.48,119.52,249.09,234.34,252.29,116.56,346.89
116.22,253.51,178.04,164.38,104.66,59.48,34.88,139.67,131.66,254.87,87.43,174.29,159.75,241.92,159.38,115.46,90.47,220.08,193.37,175.18,79.13,253.51,178.04,164.38,104.66,59.48,34.88,139.67,131.66,254.87,87.43,173.35,154.28,195.47,162.19,120.25,125.54,192.44,191.11,184.02,81.6,178.04,164.38,104.66,59.48,34.88,139.67,131.66,153.1,220.34,159.11,117.08,83.63,206.79,190.08
248.81,143.63,110.11,62.41,63.56,58.37,69.83,78.7,59.44,139.64,248.9,202.67,358.01,177.21,224.61,204.86,280.23,285.85,157.5,164.37,369.03,143.63,110.11,62.41,63.56,58.37,69.83,78.7,59.44,139.64,248.9,195.87,329.92,177.58,222.25,216.37,274.37,284.86,148.89,112.65,386.22,110.11,62.41,63.56,58.37,69.83,78.7,59.44,340.9,162.4,221.32,207.1,248.53,286.04,142.15
96.17,108.31,50.16,49.13,48.05,15.24,62.62,27.9,54.08,165.21,141.74,52.3,54.2,44.94,58.78,21.95,36.73,51.07,51.91,74.23,82.64,108.31,50.16,49.13,48.05,15.24,62.62,27.9,54.08,165.21,141.74,56.4,54.98,44.69,62.74,20.46,36.51,51.19,51.8,70.37,94.09,50.16,49.13,48.05,15.24,62.62,27.9,54.08,54.34,44.86,63.48,17.75,34.02,51.81,51.18
20.01,76.65,38.65,48.39,37.29,15.76,72.75,8.77,8.9,89.19,6.84,12.25,12.27,35.5,21.92,16.64,14.06,11.41,11.25,37.04,6.87,76.65,38.65,48.39,37.29,15.76,72.75,8.77,8.9,89.19,6.84,7.33,9.54,42.3,30.03,11.2,12.33,7.94,10.32,51.23,3.93,38.65,48.39,37.29,15.76,72.75,8.77,8.9,12.09,41.65,25.66,14.83,13.58,9.39,5.56
10.55,63.78,36.2,46.14,23.46,27.27,148.14,24.23,7.46,6.91,3.26,13.93,20.22,49.65,19.56,37.19,30.8,37.18,11.26,9.02,17.82,63.78,36.2,46.14,23.46,27.27,148.14,24.23,7.46,6.91,3.26,13.8,5.44,95.03,11.75,36.49,28.37,54.52,7.2,6.94,15.56,36.2,46.14,23.46,27.27,148.14,24.23,7.46,15.04,67.9,15.32,38.55,37.32,47.26,5.38
3.56,165.53,26.67,7.4,37.72,8.79,143.59,18.65,5.85,10.73,6.1,8.07,4.1,2.52,10.67,3.14,11.37,6.21,2.97,4.46,6.51,165.53,26.67,7.4,37.72,8.79,143.59,18.65,5.85,10.73,6.1,5.71,1.51,3.53,5.19,1.7,15.87,2.5,1.62,1.98,5.65,26.67,7.4,37.72,8.79,143.59,18.65,5.85,2.75,3.27,9.87,2.58,15.19,4.64,2.98
7.42,353.85,78.33,16.81,46.79,2.95,105.35,25.48,26.68,20.94,0.44,24.16,9.82,6.19,11.93,0.87,17.33,10.29,10.4,12.49,0.53,353.85,78.33,16.81,46.79,2.95,105.35,25.48,26.68,20.94,0.44,35.49,7.75,4.95,9,0.2,16.87,7.54,8.49,7.41,0.63,78.33,16.81,46.79,2.95,105.35,25.48,26.68,8.67,4.92,11.26,0.41,19.1,8.99,9.1
36.11,302.98,89.07,37.37,83.34,44.21,69.55,13.45,46.6,45.52,21.86,47.97,29.29,32.13,42.56,32.3,74.53,22.86,37.07,41.85,36.42,302.98,89.07,37.37,83.34,44.21,69.55,13.45,46.6,45.52,21.86,50.27,25.44,30.6,46.57,28.23,75.45,20.76,29.37,42.07,36.63,89.07,37.37,83.34,44.21,69.55,13.45,46.6,26.92,32.59,41.41,27.91,71.81,18.23,33.67
11.64,192.53,69.2,54.95,97.81,26.8,32.88,29.65,32.13,86.5,4.57,31.56,29.91,52.3,62.81,25.08,46.54,24.47,30.13,52.02,5.81,192.53,69.2,54.95,97.81,26.8,32.88,29.65,32.13,86.5,4.57,28.59,29.83,52.16,78.03,27.36,46.15,28.57,30.19,51,12,69.2,54.95,97.81,26.8,32.88,29.65,32.13,29.23,53.95,84.04,21.58,33.44,23.71,28.04
26.22,111.59,107.72,36.14,66.99,66.14,11.47,61.18,30.61,168.85,4.99,24.08,41.86,26.09,45.6,52.3,16.41,34.42,21.56,63.12,5.61,111.59,107.72,36.14,66.99,66.14,11.47,61.18,30.61,168.85,4.99,18.45,41.81,27.37,45.58,52.36,16.7,36.63,24.9,70.43,10.88,107.72,36.14,66.99,66.14,11.47,61.18,30.61,42.6,23.75,46.86,53.27,9.42,32.83,18.27
106.56,253.04,109.1,101.94,38.42,63.55,10.6,75.68,241.17,218.98,1.56,161.75,78.35,102.5,65.32,87.83,24.71,99.36,220.54,144.01,3.37,253.04,109.1,101.94,38.42,63.55,10.6,75.68,241.17,218.98,1.56,159.2,87.77,99.65,75.16,91.8,36.64,95.45,181.82,157.39,42.45,109.1,101.94,38.42,63.55,10.6,75.68,241.17,77.54,100.33,60.69,88.06,14.46,96.99,205.11
265.67,179.38,245.4,106.4,53.95,124.35,26.32,120.01,107.19,218.89,164.77,180.82,329.11,196.46,133.2,308.19,140.11,220.43,192.12,246.29,323.78,179.38,245.4,106.4,53.95,124.35,26.32,120.01,107.19,218.89,164.77,180.8,296.49,210.98,148.09,297.85,177,220.03,195.08,250.36,301.58,245.4,106.4,53.95,124.35,26.32,120.01,107.19,318.01,201.28,133.9,300.48,115.39,216.28,193.06
151.13,229.28,212.95,69.52,94.12,95.44,48.95,47.26,143.18,254.36,203.78,157.65,191.01,102.32,143.32,185.3,126.94,74.46,210.33,174.81,184.44,229.28,212.95,69.52,94.12,95.44,48.95,47.26,143.18,254.36,203.78,157.12,185.71,112.1,144.71,172.77,149.69,93.63,196.14,190.04,184.75,212.95,69.52,94.12,95.44,48.95,47.26,143.18,184.33,105.78,142.82,178.08,116.75,82.91,203.19
408.58,136.58,223.23,88.04,77.56,62.2,139.02,55.27,103.29,202.16,119.72,192.7,725.77,249.97,274.05,218.31,557.95,200.76,273.7,237.94,177.5,136.58,223.23,88.04,77.56,62.2,139.02,55.27,103.29,202.16,119.72,176.92,645.87,250.12,277.68,223.64,510.39,206.74,276.8,188.7,144.75,223.23,88.04,77.56,62.2,139.02,55.27,103.29,700.54,248.91,281.53,218.92,510.69,196.82,280.22
48.1,63.25,42.39,82.33,44.13,32.31,48.3,33.81,44.29,48.89,103.57,30.56,45.8,75.32,53.98,46.55,28.29,61.87,42.53,21.96,60.39,63.25,42.39,82.33,44.13,32.31,48.3,33.81,44.29,48.89,103.57,26.88,42.41,82.23,53.64,45.56,28.17,62.35,42.57,13.4,51.99,42.39,82.33,44.13,32.31,48.3,33.81,44.29,39.34,84.45,55.35,44.72,25.36,64.03,41.97
6.58,48.05,46.24,28.6,35.06,23.63,67.03,14.59,27.48,75.88,14.14,7.65,14.68,20.94,20.62,24.96,12.94,19.02,34.72,31.51,14.24,48.05,46.24,28.6,35.06,23.63,67.03,14.59,27.48,75.88,14.14,3.97,13.74,27.07,10.41,36.58,8.36,20.6,40.58,36.13,8.99,46.24,28.6,35.06,23.63,67.03,14.59,27.48,14.25,25.07,17.32,27.12,11.6,20.26,31.45
0.63,132.07,31.97,31.44,35.49,13.85,99.45,15.63,22.92,31.9,2.4,28.82,17.88,33.83,29.6,18.9,20.67,23.98,34.42,41.61,13.11,132.07,31.97,31.44,35.49,13.85,99.45,15.63,22.92,31.9,2.4,28.85,13.33,24.42,23.24,23.53,24.29,18.03,34.22,39.92,11.3,31.97,31.44,35.49,13.85,99.45,15.63,22.92,18.12,32.94,28.4,21.12,27.99,20.23,39.62
2.06,99.31,40.79,18.82,30.01,9.41,130.6,5.01,23.4,9.83,13.26,4.82,6.28,6.44,8.51,3.38,10.33,1.69,11.88,4.09,14.13,99.31,40.79,18.82,30.01,9.41,130.6,5.01,23.4,9.83,13.26,3.46,4.45,5.54,4.77,1.22,27.22,0.13,11.89,2.36,13.35,40.79,18.82,30.01,9.41,130.6,5.01,23.4,6.51,7.13,8.13,2.17,16.5,0.45,13.72
16.84,240.04,111.39,7.9,45.7,24.53,58.2,23.02,49.47,40.24,4.65,16.39,13.96,2.92,11.64,7.32,9.6,9.32,19.28,24,5.7,240.04,111.39,7.9,45.7,24.53,58.2,23.02,49.47,40.24,4.65,21.53,12.91,1.65,10.72,4.65,8.05,7.46,23.34,26.98,6.09,111.39,7.9,45.7,24.53,58.2,23.02,49.47,14.46,1.44,11.52,6.09,9.08,8.74,23.68
31.56,228.49,142.91,23.91,110.28,42.84,57.89,29.36,49.83,72.33,18.79,36.15,46.95,20.53,56.33,31.33,62.05,49.82,39.63,66.47,31.3,228.49,142.91,23.91,110.28,42.84,57.89,29.36,49.83,72.33,18.79,28.21,56.06,14.29,54.75,31.62,62.09,54.58,33.21,75.97,33.09,142.91,23.91,110.28,42.84,57.89,29.36,49.83,53.86,16.05,52.22,32.32,55.15,64.99,36.55
13.18,280.65,124.94,24.62,54.73,43.05,11.26,74.77,103.31,83.59,64.52,45.96,54,23.44,35.17,40.27,15.96,61.74,96.97,50.27,81.81,280.65,124.94,24.62,54.73,43.05,11.26,74.77,103.31,83.59,64.52,46.09,54.42,24.9,31.13,41.12,15.03,57.34,96.82,50.16,75.21,124.94,24.62,54.73,43.05,11.26,74.77,103.31,57.48,21.56,30.27,39.88,6.71,61.45,116.24
7.98,137.57,96.01,125.33,83.81,53.15,11.37,41.87,43.6,169.02,117.24,29.71,37.33,90.38,57.06,42.01,16.29,23.54,30.7,63.17,132.07,137.57,96.01,125.33,83.81,53.15,11.37,41.87,43.6,169.02,117.24,24.15,37.26,87.35,58.6,41.07,16.58,26.05,33.25,66.42,105.27,96.01,125.33,83.81,53.15,11.37,41.87,43.6,37.76,98.36,71.08,43.77,7.84,21.91,28
66.14,261.91,189.81,52.12,75.76,27.78,29.3,79.08,101.99,235.27,52.2,167.42,136.3,52.43,128.81,38.41,68.28,103.84,93.27,154.76,113.01,261.91,189.81,52.12,75.76,27.78,29.3,79.08,101.99,235.27,52.2,164.25,130.16,60.57,115.21,55.57,80.85,106.86,97.12,162.8,136.84,189.81,52.12,75.76,27.78,29.3,79.08,101.99,135.09,54.93,121.93,42.8,56.05,102.78,92.27
208.9,219,209.63,60.28,90.85,129.32,29.47,44.5,99.35,229.94,99.24,220.79,281.1,111.3,224.34,320.5,156.85,81.75,178.08,258.75,195.01,219,209.63,60.28,90.85,129.32,29.47,44.5,99.35,229.94,99.24,220.8,274.16,134.64,226.21,310.34,194.36,114.21,182.58,318.86,184.77,209.63,60.28,90.85,129.32,29.47,44.5,99.35,276.29,122.94,219.91,312.24,135.21,100.29,180.54
119.62,273.75,112.75,117.21,68.41,67.53,79.55,105.75,62,240.14,126.68,188.25,101.16,172.46,104.18,131.16,206.32,166.6,91.05,165.03,114.67,273.75,112.75,117.21,68.41,67.53,79.55,105.75,62,240.14,126.68,185.2,120.05,170.49,117.22,136.86,189.15,153.2,97.91,168.89,114.75,112.75,117.21,68.41,67.53,79.55,105.75,62,109.96,169.59,107.15,132.46,172.33,160.14,92.54
201.9,187.06,65.01,110.58,57.31,68.29,58.81,62.87,66.93,320.43,109.28,263.95,211.37,314.04,202.49,239.66,236.04,228.36,177.34,377.17,162,187.06,65.01,110.58,57.31,68.29,58.81,62.87,66.93,320.43,109.28,262.01,222.65,313.38,198.35,236.67,254.69,230.39,172.06,567.72,146.95,65.01,110.58,57.31,68.29,58.81,62.87,66.93,192.72,338.71,196,237.32,214.7,226.86,167.95
20.41,66.44,37.41,64.42,47.65,36.68,46.82,18.33,107.03,143.76,82.82,32.07,40.42,58.96,58.26,52.84,27.43,33.55,102.72,64.6,48.33,66.44,37.41,64.42,47.65,36.68,46.82,18.33,107.03,143.76,82.82,27.78,38.17,65.62,58.2,54.47,26.98,32.34,103.95,71.85,48.45,37.41,64.42,47.65,36.68,46.82,18.33,107.03,37.01,67.22,60.09,55.86,22.38,30.83,105.02
15.65,37.97,80.03,30.52,42.27,3.78,82.45,5.87,3.32,41.5,14.62,6.08,25.4,22.39,24.86,3.98,15.93,7.64,4.19,17.23,14.69,37.97,80.03,30.52,42.27,3.78,82.45,5.87,3.32,41.5,14.62,2.51,34.78,21.58,39.25,1.11,20.49,4.37,3.48,17.76,11.22,80.03,30.52,42.27,3.78,82.45,5.87,3.32,30.07,22.31,30.9,2.42,18.7,4.93,1.41
10.15,30.55,21.75,11.77,34.52,15.19,34.88,9.62,4.66,2.22,2.06,6.65,12.15,12.67,28.77,20.72,7.27,14.79,7.02,2.9,11.25,30.55,21.75,11.77,34.52,15.19,34.88,9.62,4.66,2.22,2.06,2.22,6.91,6.87,27.4,39.25,1.24,7.22,5.24,1.83,9.84,21.75,11.77,34.52,15.19,34.88,9.62,4.66,11.64,9.76,27.59,24.06,1.56,8.98,4.88
8.98,78.19,40.34,25.93,12.51,7.84,131.98,13.65,4.65,6.14,0.39,3.79,6.19,8.84,3.55,2.83,10.47,4.54,2.36,2.55,0.42,78.19,40.34,25.93,12.51,7.84,131.98,13.65,4.65,6.14,0.39,1.73,2.78,13,0.89,1.13,14.61,1.85,0.61,0.92,0.27,40.34,25.93,12.51,7.84,131.98,13.65,4.65,5.18,12.54,2.28,1.92,14.75,3.48,1.67
1.59,99.6,48.9,48.02,29.41,21.07,105.5,34.5,62.14,9.04,39.9,6.79,6.13,17.69,7.5,6.3,17.33,13.89,24.22,5.41,48.92,99.6,48.9,48.02,29.41,21.07,105.5,34.5,62.14,9.04,39.9,3.22,2.78,18.74,5.57,3.63,20.19,19.53,30.34,3.69,46.59,48.9,48.02,29.41,21.07,105.5,34.5,62.14,2.1,18.48,6.9,5.16,21.36,18.55,30.65
15.96,216.89,124.95,62.83,73.76,49.43,38.14,9.32,49.53,65.73,6.39,34.32,41.04,54,37.68,36.12,40.89,15.81,39.42,60.43,10.63,216.89,124.95,62.83,73.76,49.43,38.14,9.32,49.53,65.73,6.39,37.31,39.79,54.31,27.78,31.53,39.35,13.63,52.08,59.98,11.54,124.95,62.83,73.76,49.43,38.14,9.32,49.53,41.42,57.29,24.96,31.23,27.36,10.18,48.55
29.31,203.12,53.1,25.73,71.82,37.94,17.54,21.06,27.08,82.93,19.75,33.26,22.9,24.52,46.11,35.48,24.82,17.4,25.4,49.87,25.03,203.12,53.1,25.73,71.82,37.94,17.54,21.06,27.08,82.93,19.75,27.54,22.54,25.57,44.04,35.91,23.88,21.95,25.47,52.05,26.53,53.1,25.73,71.82,37.94,17.54,21.06,27.08,19.48,23.32,46.09,35.33,13.59,16.52,22.01
34.05,153.32,121.23,121.15,51.65,72.52,10.54,101.32,20.34,105.81,18.87,33.09,47.11,87.43,35.17,57.35,15.07,56.97,14.32,39.58,21.27,153.32,121.23,121.15,51.65,72.52,10.54,101.32,20.34,105.81,18.87,28.9,46.22,80.92,34.33,56.43,15.47,57.24,17.93,54.34,25.97,121.23,121.15,51.65,72.52,10.54,101.32,20.34,45.84,99.69,28.88,60.11,4.99,56.02,10.9
116.76,158.83,94.12,154.25,57.54,63.59,32.32,145.31,106.12,194.61,80.63,101.56,67.6,155.15,97.87,87.89,75.29,190.76,97.05,127.99,174.58,158.83,94.12,154.25,57.54,63.59,32.32,145.31,106.12,194.61,80.63,101.08,73.38,145.59,104.16,95.87,80.46,165.72,97.28,143.69,141.81,94.12,154.25,57.54,63.59,32.32,145.31,106.12,66.15,150.63,94.03,88.86,59.77,178.62,95.15
202.01,250.65,125.03,56.78,109.07,91.05,55.88,63.28,84.25,224.01,129.09,252.66,167.68,104.84,269.31,225.63,297.44,116.23,151.03,252.04,253.67,250.65,125.03,56.78,109.07,91.05,55.88,63.28,84.25,224.01,129.09,252.62,186,117.71,261.08,216.42,284.59,147.71,161.33,258.69,245.3,125.03,56.78,109.07,91.05,55.88,63.28,84.25,170.58,110.46,263.84,220.09,236.65,133.62,156.37
132.88,247.04,135.42,119.66,98.1,91.43,76.78,121.34,94.71,244.09,138.71,171.32,121.49,176.09,149.39,177.53,199.15,191.18,139.14,167.78,125.54,247.04,135.42,119.66,98.1,91.43,76.78,121.34,94.71,244.09,138.71,171.02,135.82,176.1,147.99,165.99,189.18,181.66,141.19,168.26,127.95,135.42,119.66,98.1,91.43,76.78,121.34,94.71,129.07,173.78,146.45,171.93,168.77,185.82,137.97
210.25,182.05,91.45,73.39,41.71,75.48,112.76,54.99,90.78,264.83,128.68,256.89,297.35,208.4,147.38,264.89,452.55,199.74,240.53,311.72,190.79,182.05,91.45,73.39,41.71,75.48,112.76,54.99,90.78,264.83,128.68,264.78,302.95,208.47,137.9,267.74,424.25,204.12,243.01,368.73,143.92,91.45,73.39,41.71,75.48,112.76,54.99,90.78,289.47,208.07,131.11,264.2,412.65,196.63,244.39
11.64,104.87,64.57,55.47,44.31,43.19,42.65,22.1,54.55,86.86,65.27,50.62,69.78,50.77,54.17,62.23,24.98,40.46,52.37,39.01,38.07,104.87,64.57,55.47,44.31,43.19,42.65,22.1,54.55,86.86,65.27,49.3,78.19,48.14,52.5,65.28,24.46,39.56,52.58,42.41,44.82,64.57,55.47,44.31,43.19,42.65,22.1,54.55,77.09,48.98,54.51,67.28,20.53,39.36,52.52
33.7,200.63,100.33,30.14,27.27,15.73,82.22,10.01,45.1,78.45,4.01,32.04,31.8,22.06,16.04,16.63,15.88,13.05,56.98,32.58,4.03,200.63,100.33,30.14,27.27,15.73,82.22,10.01,45.1,78.45,4.01,37.45,43.2,22.08,9.1,10.15,12.29,9.91,66.78,58.63,3.07,100.33,30.14,27.27,15.73,82.22,10.01,45.1,39.58,23.94,12.75,14.77,16.34,11.58,50.88
11.06,69,52.51,1.98,35.92,8.85,162.43,15.03,6.2,9.37,2.65,15.05,29.31,2.12,29.93,12.07,33.73,23.06,9.32,12.24,14.49,69,52.51,1.98,35.92,8.85,162.43,15.03,6.2,9.37,2.65,12.87,23.51,0.43,25.07,9.85,36.3,21.3,6.73,9.68,12.39,52.51,1.98,35.92,8.85,162.43,15.03,6.2,31.49,0.73,29.68,10.23,46.94,22.83,5.99
0.5,71.02,46.81,12.57,17.95,1.5,54.52,20.65,12.7,20.02,2.46,3.46,7.21,4.29,5.08,0.53,4.32,6.89,6.44,8.3,2.62,71.02,46.81,12.57,17.95,1.5,54.52,20.65,12.7,20.02,2.46,1.72,6.09,1.06,2.5,0.13,0.71,8.7,4.75,4.58,2.22,46.81,12.57,17.95,1.5,54.52,20.65,12.7,8.25,2.32,4.05,0.25,2.51,8.51,6.9
0.7,163.28,127.47,13.95,31.88,21.51,65.01,32.1,21.48,30.01,6.11,11.15,15.97,5.13,8.14,6.42,10.68,12.94,8.39,17.91,7.49,163.28,127.47,13.95,31.88,21.51,65.01,32.1,21.48,30.01,6.11,8.59,16.22,4.18,5.85,4.88,7.74,12.25,7.7,23.47,7.5,127.47,13.95,31.88,21.51,65.01,32.1,21.48,19.06,4.24,7.53,5.98,8.43,14.14,8.2
28.19,215.71,51.9,49.39,43.13,52.86,62.85,15.37,38.77,50.94,68.31,34.14,17.03,42.43,22.03,38.66,67.36,26.1,30.86,46.81,113.83,215.71,51.9,49.39,43.13,52.86,62.85,15.37,38.77,50.94,68.31,27.21,5.72,43.46,14.72,34.55,70.58,23.24,21.11,44.66,110.35,51.9,49.39,43.13,52.86,62.85,15.37,38.77,6.69,45.75,12.74,34.91,67.61,19.16,23.49
50.09,226.03,120.97,18.53,52.47,29.07,26.54,66.21,43.3,46.61,19.43,37.01,52.29,17.63,33.71,27.18,37.55,54.67,40.62,28.01,24.67,226.03,120.97,18.53,52.47,29.07,26.54,66.21,43.3,46.61,19.43,33.08,52.1,19.78,31.15,29.13,37.78,47.08,40.69,24.07,32.07,120.97,18.53,52.47,29.07,26.54,66.21,43.3,52.55,14.6,31.05,24.56,29.6,53.9,40.21
14.27,246.09,74.24,60.47,72.71,66.51,6.87,208.47,51.72,137.42,130.8,53.14,28.86,43.61,49.49,52.53,9.84,117.22,36.42,51.35,147.36,246.09,74.24,60.47,72.71,66.51,6.87,208.47,51.72,137.42,130.8,54.54,28.27,43.96,50.15,52.33,10.08,104.92,38.69,47.88,104.09,74.24,60.47,72.71,66.51,6.87,208.47,51.72,27.3,43.93,56.44,54.15,4.56,120.54,33.89
127.4,125.97,119.43,193.99,56.81,149.98,25.15,57.25,139.88,176.74,147.12,80.53,85.76,195.1,96.6,207.24,58.61,75.18,127.94,116.25,318.53,125.97,119.43,193.99,56.81,149.98,25.15,57.25,139.88,176.74,147.12,82.06,88.7,161.27,104.57,177.57,70.08,83.8,127.52,118.85,170.8,119.43,193.99,56.81,149.98,25.15,57.25,139.88,84.01,183.12,93.64,195.92,49.5,77.32,124.87
256.67,200.28,144.07,78.1,74.17,55.43,42.83,90.76,135.33,184.87,200.6,201.91,193.23,144.26,183.14,137.38,227.96,166.73,242.58,208.03,394.18,200.28,144.07,78.1,74.17,55.43,42.83,90.76,135.33,184.87,200.6,201.92,206.05,161.44,195.49,151.66,237.69,180,248.71,202.49,369.83,144.07,78.1,74.17,55.43,42.83,90.76,135.33,195.27,150.84,182.69,142.35,168.68,173.5,244.35
108.87,227.04,181.94,106.6,122.47,105.08,85.92,59.27,129.2,231.92,238.08,156.08,163.21,156.88,186.47,204.02,222.84,93.38,189.8,159.4,215.46,227.04,181.94,106.6,122.47,105.08,85.92,59.27,129.2,231.92,238.08,156.34,154.81,155.37,176.44,193.03,193.88,110.6,191.04,167.32,214.26,181.94,106.6,122.47,105.08,85.92,59.27,129.2,153.71,154.15,182,197.39,182.5,99.8,187.53
262.8,262.55,77.77,110.15,96.73,51.52,35.43,40.07,72.99,260.45,260.38,370.45,252.83,312.82,341.8,180.83,142.15,145.53,193.44,306.57,386.05,262.55,77.77,110.15,96.73,51.52,35.43,40.07,72.99,260.45,260.38,392.83,260.28,312.73,345.41,196.02,163.62,154.98,186.55,372.3,413.1,77.77,110.15,96.73,51.52,35.43,40.07,72.99,242.8,319.48,354.36,184,119.24,139.39,182.67
98.76,105.4,51.1,54.1,53.16,32.37,33.22,19.23,76.85,193.69,100.23,50.9,55.21,49.52,65,46.63,19.45,35.19,73.77,87.05,58.45,105.4,51.1,54.1,53.16,32.37,33.22,19.23,76.85,193.69,100.23,51.89,52.46,50.23,71.46,46.86,19.07,34.26,74.17,100.02,56.77,51.1,54.1,53.16,32.37,33.22,19.23,76.85,52.71,51.17,72.77,47.45,14.38,32.92,74.63
12.14,50.34,35.49,20.62,11.41,8.38,83.31,23.29,13.62,53.22,0.27,8.04,11.26,15.13,6.71,8.83,16.08,30.35,17.19,22.09,0.27,50.34,35.49,20.62,11.41,8.38,83.31,23.29,13.62,53.22,0.27,3.25,4.2,9.64,3.32,3.66,12.91,41.46,15.11,11.63,0.08,35.49,20.62,11.41,8.38,83.31,23.29,13.62,7.57,11.37,4.75,6.71,16.81,35.89,7.12
39.58,72.77,13.56,13.48,19.75,14.44,100.62,10.93,18.35,25.53,1.64,15.87,7.56,14.5,16.47,19.69,20.92,16.77,27.61,33.33,8.96,72.77,13.56,13.48,19.75,14.44,100.62,10.93,18.35,25.53,1.64,11.16,0.84,9.44,7.7,13.43,17.89,12.92,21.83,30.35,7.23,13.56,13.48,19.75,14.44,100.62,10.93,18.35,3.13,12.15,11.51,18.57,22.73,13.89,21.39
2.58,43.82,88.35,23.71,20.28,12.27,79.54,3.82,3.34,12.32,3.53,2.14,13.58,8.11,5.73,4.4,6.3,1.29,1.69,5.13,3.75,43.82,88.35,23.71,20.28,12.27,79.54,3.82,3.34,12.32,3.53,0.71,21.58,6.41,2,2.5,1.81,0.41,0.35,2.69,3.09,88.35,23.71,20.28,12.27,79.54,3.82,3.34,20.24,8.46,4.36,3.69,5.18,0.96,1.25
21.99,137.5,136.2,36.25,43.26,47.07,178.89,17.3,19.05,18.84,10.73,9.4,17.04,13.32,11.01,14.04,29.42,6.95,7.42,11.23,13.16,137.5,136.2,36.25,43.26,47.07,178.89,17.3,19.05,18.84,10.73,8.84,26.07,14.99,13.66,16.43,36.75,4.95,5.69,11.72,12.63,136.2,36.25,43.26,47.07,178.89,17.3,19.05,27.62,15.11,11.64,14.81,40.07,5.54,6.2
48.77,233.25,124.93,74.78,120.93,54.04,26.7,30.62,63.99,70.1,12.69,36.95,41.02,64.26,61.78,39.51,28.63,51.98,50.93,64.45,21.14,233.25,124.93,74.78,120.93,54.04,26.7,30.62,63.99,70.1,12.69,30.09,55.82,68.07,69.94,36.17,28.33,51.64,60.14,61.21,22.16,124.93,74.78,120.93,54.04,26.7,30.62,63.99,51,70.86,65.18,36.89,22.75,56.33,59.2
