1981	2	25	10.05	1.68	1.86	0.99	2.16	0.62	4.5	3.66	18.71	7.74	4.52
1981	2	26	3.71	0.99	2.92	3.25	6.42	2.17	3.34	6.08	18.02	6.25	3.00
1981	2	27	2.36	0.56	14.73	4.49	17.81	5.96	2.97	3.66	4.31	5.09	3.14
1981	2	28	3.07	1.8	17.11	4.49	10.41	7.99	3.77	1.66	0.95	5.11	1.80
1981	3	1	8.31	14.46	19.17	7.71	9.74	5.66	7.85	1.46	9.16	17.5	0.00
1981	3	2	27.96	16.45	6.52	6.2	8.78	1.09	2.89	6.36	4.91	26.04	12.88
1981	3	3	11.52	5.44	6.86	1.51	23.29	0	1.28	3.62	1.83	12.22	7.62
1981	3	4	18.64	3.16	6.09	2.85	12.08	0	0.39	24.27	4.32	15.32	15.11
1981	3	5	12.73	7.31	0.17	2.72	7.6	3.02	3.35	25.27	33.37	47	8.69
1981	3	6	6.77	5.17	1.23	8.31	4.95	2	6.83	2.9	12	9.32	4.88
1981	3	7	9.8	17.29	0.34	6.2	4.2	0.61	6.83	28.42	15.59	18.61	12.34
1981	3	8	10.06	0	2	5.87	10.69	0	23.28	31.09	11.46	32.61	16.79
1981	3	9	9.35	2.87	2.83	12.12	34.77	0	9.15	8.42	13.25	33.05	23.39
1981	3	10	6.95	5.7	3.82	8.95	26.59	0.86	0.74	2.67	40.02	14.89	8.74
1981	3	11	9.25	3.3	15.55	14.74	17.82	1.37	2.08	4.72	16.83	16.69	16.22
1981	3	12	12.73	4.05	48.81	3.53	7.53	14.32	6.11	7.04	11.43	31.28	8.74
1981	3	13	11.05	2.22	32.67	5.87	4.34	1.09	3.05	9.2	2.84	0.06	9.03
1981	3	14	10.6	3.16	18.81	13.11	4.49	1.59	7.29	10.61	38.06	0	3.52
1981	3	15	13.49	0.67	6.97	4.68	3.9	7.5	2.74	2.9	14.83	0	4.65
1981	3	16	6.6	0.67	3	2.72	2.24	6.51	3.43	2.67	8.75	0.63	2.21
1981	3	17	5.68	0.86	4.22	2.16	6.12	10.71	4.06	3.62	3.93	2.67	1.48
1981	3	18	22.09	1.91	5.75	0.81	4.95	5.66	1.44	12.37	7.73	15.98	83.02
1981	3	19	6.84	8.06	3.17	0.87	1.52	2.1	1.77	16.55	30.51	5.93	5.00
1981	3	20	5.19	4.53	5.04	2.72	2	1.09	0.74	8.75	28.37	17.11	0.67
1981	3	21	4.82	0.57	6.21	0.28	6.4	1.09	2.59	13.12	38.58	24.35	6.97
1981	3	22	3.45	0.67	2.83	3.26	2.97	0.34	1.28	10.55	33.58	23.78	7.31
1981	3	23	4.5	2.57	9.61	3.77	2.67	1.69	1.61	1.85	24.92	6.01	2.50
1981	3	24	4.24	1.59	10.77	5.87	5.24	0	1.28	3.41	34.01	2.34	11.46
1981	3	25	4.67	2.57	7.62	2.42	6.19	1.37	2.74	6.5	2.71	8.07	8.31
1981	3	26	4.99	2.42	11.25	5.29	39.31	1.48	0.95	0.6	3.19	17.11	2.46
1981	3	27	6.12	1.91	2.34	5.29	50.87	6.51	1.77	1.56	8.94	3.76	1.89
1981	3	28	6.48	0.67	0.6	11.15	18.28	3.74	3.05	1.17	45.22	12.58	2.48
1981	3	29	2.92	4.53	3.39	12.12	3.9	5.33	10.43	0.87	53.45	12.79	0.41
1981	3	30	1.36	5.24	21.38	3.26	4.05	3.92	2.82	1.36	12.94	11.34	4.62
1981	3	31	4.3	10.56	16.94	1.11	2.36	2.59	0.74	13.84	5.42	5.38	3.51
1981	4	1	1.26	3.75	0.9	0.33	0.88	0.8	3.01	14.14	2.56	2.19	0.10
1981	4	2	3.64	8.81	0.79	0.26	0.43	2.98	4.14	5.44	4.87	5.76	0.39
1981	4	3	5.57	3.53	1.2	0.28	0.88	3.25	0.75	8.92	12.3	7.81	0.71
1981	4	4	1.86	1.34	2.68	0.46	0.94	3.91	0.88	5.69	2.35	10.23	1.57
1981	4	5	0.6	0.68	4.15	0.5	0.17	1.11	3.76	8.01	0	4.6	6.28
1981	4	6	2.6	0.13	2.29	0.3	0.26	5.4	2.85	2.38	1.91	2.42	1.72
1981	4	7	0.09	1.02	1.08	0.5	0.53	1.04	1.98	0.17	3.07	11.25	1.51
1981	4	8	0.03	0.29	0.72	0.33	0.88	1.31	0.58	0.14	1.95	2.22	2.22
1981	4	9	0.23	18.39	2.29	0.96	1.18	1.25	0.05	2.44	1.2	1.31	0.98
1981	4	10	1.18	0	12.61	6.01	1.47	1.45	0.98	2.99	1.22	0.9	6.29
1981	4	11	1.45	2.67	5.28	0.33	8.38	2.91	0.23	6.02	0.04	0.81	0.62
1981	4	12	0.34	2.89	2.96	0.13	4.61	2.13	0.08	11.49	0.94	7.54	0.66
1981	4	13	0.37	1.16	0.69	0.2	0.91	6.94	1.31	0.41	3.34	1.9	0.10
1981	4	14	0.61	1.02	0.31	0.23	0.15	1.66	0.11	0.26	0	2.71	0.23
1981	4	15	8.04	0.89	0.04	3.42	0.12	0.46	0.17	2.02	0	0	0.09
1981	4	16	5.49	0.02	1.85	0.46	0.88	0.63	0.51	4.83	0.52	0.13	0.00
1981	4	17	0.54	0.64	0.84	1.23	1.75	2.2	0.88	2.06	0	0.36	0.24
1981	4	18	0.19	2.37	0.17	0.67	1.44	3.79	3.01	25.63	0	0.39	2.87
1981	4	19	0.12	0.73	0.59	1.88	1.78	0	0.51	1.38	0	0.24	0.13
1981	4	20	0.09	0.09	1.87	0.46	2.08	0.16	0.23	4.72	0	1.95	0.10
1981	4	21	0.22	0.09	0.42	1.97	2.7	0.07	3.42	1.53	0.05	3.37	0.29
1981	4	22	0.77	1.02	0.1	2.94	0.94	0.58	3.33	0.26	0	0.84	0.12
1981	4	23	0.66	1.58	0.31	1.47	8.01	0.75	6.02	0.1	0.03	1.01	0.00
1981	4	24	0.2	0.77	0.38	1.06	17.09	0.58	1.02	0.46	4.08	0.65	1.28
1981	4	25	0.09	0.16	0.25	0.2	10.47	0.71	1.02	0.1	2.08	1.06	0.00
1981	4	26	0.06	1.25	0.48	0	6.55	0.12	1.48	0.26	0.11	0.22	0.66
1981	4	27	0.35	0.16	0.86	0.33	8.01	0.04	1.09	0.29	0	0.16	0.64
1981	4	28	0.62	0.16	0.72	0.13	5.7	0.47	1.79	1.55	0.06	0.27	1.08
1981	4	29	0.96	0.09	0.48	0	2.48	1.09	0.34	1.27	0.66	0.79	0.80
1981	4	30	0.37	0.04	0.06	0.33	2.14	0.84	0.31	0.41	0.06	0	0.22
1981	5	1	0.12	0	0.03	4.01	9.11	0.07	0.12	0.45	0.02	0	0.10
1981	5	2	0	0	0.03	0.1	7.24	0.03	0.01	0.96	0.33	2.41	0.06
1981	5	3	0.08	0.03	0.05	0.01	21.55	0.01	0.04	0.36	0.17	3.35	0.03
1981	5	4	0.2	0.01	0.03	0.09	0.03	0.02	0	0.06	0	0	0.02
1981	5	5	0.63	0.01	0.03	0.86	0.02	0.01	0.01	0	0	0	0.24
1981	5	6	1.43	0.08	0.03	0.66	0.37	0	0.02	0.06	0.01	1.35	5.63
1981	5	7	1.02	0.79	0.94	0	0.96	0	0.04	0	2.98	0	0.41
1981	5	8	0.33	0.06	35.47	0	0.02	0.01	0.1	0	5.36	0	0.21
1981	5	9	0.13	0.03	3.08	0	0	1.83	0	0.13	0.24	0.49	2.46
1981	5	10	0.66	0.11	0.93	0.01	0	0.34	0	0.31	0.1	0	0.43
1981	5	11	0.06	0.35	2.29	0	0	0.01	0.04	0.13	0	0	0.22
1981	5	12	0.45	3.51	0.23	0	0.37	0.01	0	0.13	0.03	0	0.10
1981	5	13	0.74	1.25	0	0	0.7	0	0.01	0	0.01	0	0.02
1981	5	14	6.56	1.46	0	0.06	0.3	0	0.02	2.02	0.02	0	0.00
1981	5	15	2.07	11.48	0	0	0.52	0.19	0.01	0.23	0	0	0.09
1981	5	16	0.21	1.33	0	0.87	5.48	0.01	0.42	0.13	0.19	0	0.03
1981	5	17	0.05	0	0	0.16	2.56	0	0.32	0.03	0.35	0	0.02
