RAIN4PE,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt
53.49,108.6,17.25,53.49,40.29,50.42,35.43,28.51,37.46,5.82,12.37,58.05,20.65,54.16,54.54,80.38,23.04,57.78,39.82,7.51,14.95,108.6,17.25,53.49,40.29,50.42,35.43,28.51,37.46,5.82,12.37,59.49,20.06,53.78,56.91,77.06,25.82,57.76,41.56,6.05,14.44
5.12,94.51,34.6,7.9,50.24,24.68,33.13,8.54,4.48,8.69,6.63,17.49,12.72,6.68,34.19,30.14,7.38,12.87,6.57,11.4,17.76,94.51,34.6,7.9,50.24,24.68,33.13,8.54,4.48,8.69,6.63,14.12,6.02,4.11,31.32,34.2,3.34,10.96,5.78,7.89,15.43
6.18,62.95,58.92,20.02,17.45,7.64,57.12,10.06,13.68,7.98,0.03,9.93,23.83,15.59,10.52,7.55,8.59,11.16,14.86,22.34,0.37,62.95,58.92,20.02,17.45,7.64,57.12,10.06,13.68,7.98,0.03,8.46,37.6,14.31,6.58,3.84,6.72,7.26,13.09,18.75,2.19
4.95,120.59,52.21,25.7,26.33,12.67,172.2,13.99,18.36,2.81,8.28,10.46,14.29,15.67,13.31,8.16,24.18,8.32,16.63,5.64,38.45,120.59,52.21,25.7,26.33,12.67,172.2,13.99,18.36,2.81,8.28,12.05,12.32,13.56,14,6.46,36.27,3.39,15.74,5.69,29.12
37.63,173.68,65.47,68.81,35.29,46.55,187.6,30.38,50.44,8.87,6.31,26.51,18.3,56.52,20.06,30.99,67.75,27.33,43.84,25.23,34.12,173.68,65.47,68.81,35.29,46.55,187.6,30.38,50.44,8.87,6.31,42.87,11.59,52.73,10.04,43.06,89.81,15.74,38.63,15.49,35.64
51.54,295.94,76.07,58.13,19.7,53.44,92.3,43.54,69.69,32.21,22.72,50.18,26.8,53.57,10.79,41.87,103.54,79.2,59.44,63.58,69.75,295.94,76.07,58.13,19.7,53.44,92.3,43.54,69.69,32.21,22.72,49.77,15.22,63.74,7.13,36.13,112.01,107.65,69.82,65.01,70.22
43.88,199.83,93.37,52.13,71.86,37.46,75.16,50.63,36.13,54.17,24.06,45.31,55.93,68.73,63.89,48.53,149.26,57.9,46.92,85.89,71.11,199.83,93.37,52.13,71.86,37.46,75.16,50.63,36.13,54.17,24.06,41.72,56.03,67.46,64.81,49.62,148.66,60.46,47.61,87.83,80.53
155.92,252.35,70.97,28.27,40.68,95.7,17.84,72.38,89.11,67.42,0.97,84.76,42.91,31.74,43.08,117.67,40.17,63.32,97.63,67.98,2.81,252.35,70.97,28.27,40.68,95.7,17.84,72.38,89.11,67.42,0.97,88.57,41.8,34.02,42.76,111.23,41.67,61.04,88.59,62.13,11.97
53.52,238.5,182.42,108.31,84.26,60.38,27.27,61.74,94.41,88.72,8.74,157.85,135.04,112.78,147.72,86.01,65.78,83.53,88.99,109.48,33.55,238.5,182.42,108.31,84.26,60.38,27.27,61.74,94.41,88.72,8.74,155.71,127.52,114.84,125.61,99.15,84.13,94.71,94.97,110.31,50.7
123.03,168.23,77.39,144.75,35.55,61.91,42.63,184.67,119.83,121.48,52.92,115.13,70.47,181.44,59.59,104.17,154.01,230.3,145.84,180.47,136.69,168.23,77.39,144.75,35.55,61.91,42.63,184.67,119.83,121.48,52.92,115.88,83.89,172.16,67.48,111.43,159.04,203.84,145.21,186.63,139.59
